País,Población (2022),PIB en billones (2021),Humedad media,Índice de corrupción,Gasto en seguridad social (% del PIB),Número de especies venenosas,Incidencias (2019),Label 
Macedonia del Norte,"2,079,000",0.01,73.6,40,6.1,10,356,1
Italia,"59,062,000",2.20,71.4,52,19.7,56,51,0
Grecia,"10,680,000",0.20,60.1,50,18.4,43,93,0
Rusia,"144,192,000",1.67,77.9,129,13.3,41,267,1
Chipre,"1,211,000",0.02,73.4,55,10.2,23,92,0
Ucrania,"42,643,000",0.15,72.5,117,11.5,50,315,1
Turquía,"84,877,000",0.80,72.7,86,10.2,92,157,0
Croacia,"4,058,000",0.06,72.2,47,16.1,17,251,1
Francia,"67,408,000",2.80,80.5,70,15.8,45,96,0
Polonia,"37,976,000",0.62,72.2,78,18.6,28,371,1
