Country ,Country ,Year ,"Encounter per 100,000"
Turkey,TUR,1990,177.88
Turkey,TUR,1991,173.3
Turkey,TUR,1992,169.17
Turkey,TUR,1993,165.7
Turkey,TUR,1994,163.12
Turkey,TUR,1995,161.65
Turkey,TUR,1996,160.94
Turkey,TUR,1997,160.44
Turkey,TUR,1998,160.14
Turkey,TUR,1999,160.04
Turkey,TUR,2000,160.11
Turkey,TUR,2001,160.53
Turkey,TUR,2002,161.28
Turkey,TUR,2003,162.11
Turkey,TUR,2004,162.78
Turkey,TUR,2005,163.03
Turkey,TUR,2006,162.82
Turkey,TUR,2007,162.3
Turkey,TUR,2008,161.55
Turkey,TUR,2009,160.66
Turkey,TUR,2010,159.71
Turkey,TUR,2011,158.06
Turkey,TUR,2012,155.48
Turkey,TUR,2013,152.71
Turkey,TUR,2014,150.5
Turkey,TUR,2015,149.58
Turkey,TUR,2016,153.78
Turkey,TUR,2017,158.25
Turkey,TUR,2018,158.42
Turkey,TUR,2019,157.19
Syria,SYR,1990,216.16
Syria,SYR,1991,211.28
Syria,SYR,1992,206.92
Syria,SYR,1993,203.36
Syria,SYR,1994,200.85
Syria,SYR,1995,199.63
Syria,SYR,1996,199.39
Syria,SYR,1997,199.53
Syria,SYR,1998,199.9
Syria,SYR,1999,200.31
Syria,SYR,2000,200.62
Syria,SYR,2001,201.02
Syria,SYR,2002,201.68
Syria,SYR,2003,202.38
Syria,SYR,2004,202.88
Syria,SYR,2005,202.91
Syria,SYR,2006,202.32
Syria,SYR,2007,201.34
Syria,SYR,2008,200.23
Syria,SYR,2009,199.28
Syria,SYR,2010,198.89
Syria,SYR,2011,199.08
Syria,SYR,2012,199.66
Syria,SYR,2013,200.5
Syria,SYR,2014,201.54
Syria,SYR,2015,202.8
Syria,SYR,2016,212.72
Syria,SYR,2017,223.8
Syria,SYR,2018,227.03
Syria,SYR,2019,228.63
Qatar,QAT,1990,103.86
Qatar,QAT,1991,103.9
Qatar,QAT,1992,103.83
Qatar,QAT,1993,103.69
Qatar,QAT,1994,103.5
Qatar,QAT,1995,103.28
Qatar,QAT,1996,102.69
Qatar,QAT,1997,101.59
Qatar,QAT,1998,100.32
Qatar,QAT,1999,99.16
Qatar,QAT,2000,98.41
Qatar,QAT,2001,97.89
Qatar,QAT,2002,97.29
Qatar,QAT,2003,96.68
Qatar,QAT,2004,96.15
Qatar,QAT,2005,95.77
Qatar,QAT,2006,95.59
Qatar,QAT,2007,95.53
Qatar,QAT,2008,95.52
Qatar,QAT,2009,95.51
Qatar,QAT,2010,95.43
Qatar,QAT,2011,95.26
Qatar,QAT,2012,95.05
Qatar,QAT,2013,94.87
Qatar,QAT,2014,94.79
Qatar,QAT,2015,94.89
Qatar,QAT,2016,98.12
Qatar,QAT,2017,101.64
Qatar,QAT,2018,102.27
Qatar,QAT,2019,102.19
Iraq,IRQ,1990,163.57
Iraq,IRQ,1991,165.25
Iraq,IRQ,1992,166.71
Iraq,IRQ,1993,167.91
Iraq,IRQ,1994,168.73
Iraq,IRQ,1995,169.07
Iraq,IRQ,1996,169.07
Iraq,IRQ,1997,168.94
Iraq,IRQ,1998,168.72
Iraq,IRQ,1999,168.46
Iraq,IRQ,2000,168.19
Iraq,IRQ,2001,167.81
Iraq,IRQ,2002,167.25
Iraq,IRQ,2003,166.58
Iraq,IRQ,2004,165.91
Iraq,IRQ,2005,165.34
Iraq,IRQ,2006,164.79
Iraq,IRQ,2007,164.13
Iraq,IRQ,2008,163.39
Iraq,IRQ,2009,162.59
Iraq,IRQ,2010,161.7
Iraq,IRQ,2011,160.39
Iraq,IRQ,2012,158.59
Iraq,IRQ,2013,156.79
Iraq,IRQ,2014,155.43
Iraq,IRQ,2015,154.94
Iraq,IRQ,2016,159.76
Iraq,IRQ,2017,164.78
Iraq,IRQ,2018,164.85
Iraq,IRQ,2019,163.47
Cyprus,CYP,1990,103.7
Cyprus,CYP,1991,102.64
Cyprus,CYP,1992,101.61
Cyprus,CYP,1993,100.63
Cyprus,CYP,1994,99.72
Cyprus,CYP,1995,98.92
Cyprus,CYP,1996,98.13
Cyprus,CYP,1997,97.31
Cyprus,CYP,1998,96.48
Cyprus,CYP,1999,95.68
Cyprus,CYP,2000,94.97
Cyprus,CYP,2001,94.21
Cyprus,CYP,2002,93.34
Cyprus,CYP,2003,92.5
Cyprus,CYP,2004,91.82
Cyprus,CYP,2005,91.45
Cyprus,CYP,2006,91.31
Cyprus,CYP,2007,91.23
Cyprus,CYP,2008,91.2
Cyprus,CYP,2009,91.21
Cyprus,CYP,2010,91.24
Cyprus,CYP,2011,91.36
Cyprus,CYP,2012,91.59
Cyprus,CYP,2013,91.86
Cyprus,CYP,2014,92.1
Cyprus,CYP,2015,92.24
Cyprus,CYP,2016,92.14
Cyprus,CYP,2017,92
Cyprus,CYP,2018,92.04
